#Properties
#
BFO:0000050	# part of
BFO:0000051	# has part
BFO:0000054	# realized in
BFO:0000055	# realizes
BFO:0000066	# occurs in
BFO:0000067	# contains process
RO:0002352	# input of
RO:0002233	# has input
RO:0002353	# output of
RO:0002234	# has output
RO:0000052	# characteristic of
RO:0000053	# has characteristic
RO:0000056	# participates in
RO:0000057	# has participant
RO:0000058	# is concretized as
RO:0000059	# concretizes
RO:0000079	# function of
RO:0000080	# quality of
RO:0000081	# role of
RO:0000085	# has function
RO:0000086	# has quality
RO:0000087	# has role
RO:0000092	# disposition of
RO:0000091	# has disposition
RO:0002479	# has part that occurs in
RO:0002351	# has member
RO:0002350	# member of
RO:0002180	# has component
RO:0002018	# has component process
